ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
463383,Male,Yes,41,No,Executive,6.0,High,3.0,Cat_4
466790,Male,Yes,45,Yes,Doctor,1.0,Average,2.0,Cat_3
464746,Male,Yes,32,No,Executive,4.0,Average,5.0,Cat_4
461237,Male,No,30,Yes,Doctor,0.0,Low,5.0,Cat_2
464934,Male,Yes,77,No,Lawyer,1.0,Low,2.0,Cat_4
466416,Male,Yes,88,No,Executive,0.0,High,3.0,Cat_6
460368,Male,No,28,Yes,Healthcare,0.0,Low,7.0,Cat_6
465795,Male,No,29,No,Entertainment,1.0,Low,4.0,Cat_4
459240,Female,No,28,Yes,Artist,1.0,Low,1.0,Cat_6
464373,Female,No,46,Yes,Artist,0.0,Low,2.0,Cat_6
460001,Male,Yes,41,Yes,Artist,4.0,Average,2.0,Cat_2
462872,Female,Yes,47,No,Engineer,10.0,Low,2.0,Cat_3
462313,Male,Yes,55,Yes,Artist,1.0,Average,2.0,Cat_4
465737,Female,Yes,49,Yes,Engineer,6.0,Low,3.0,Cat_3
461844,Male,Yes,51,No,Artist,2.0,Average,4.0,Cat_7
461696,Female,Yes,70,Yes,Lawyer,0.0,High,2.0,Cat_6
461146,Male,Yes,56,Yes,Entertainment,0.0,Low,2.0,Cat_3
466653,Male,Yes,41,Yes,Entertainment,5.0,Low,1.0,Cat_6
461636,Male,No,46,Yes,Artist,3.0,Low,1.0,Cat_6
460528,Male,Yes,48,Yes,Homemaker,9.0,Low,1.0,Cat_3
461275,Male,Yes,66,Yes,Marketing,1.0,High,2.0,Cat_6
464840,Male,No,18,No,Healthcare,0.0,Low,4.0,Cat_4
461817,Female,No,25,No,Doctor,1.0,Low,3.0,Cat_6
461141,Male,Yes,55,No,Homemaker,2.0,Low,1.0,Cat_3
463787,Female,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_5
459206,Female,No,25,No,Artist,1.0,Low,3.0,Cat_6
464962,Male,Yes,53,Yes,Executive,1.0,High,4.0,Cat_4
460585,Male,No,49,No,Entertainment,1.0,Low,3.0,Cat_3
466252,Female,Yes,73,No,Executive,0.0,Low,3.0,Cat_4
466189,Female,Yes,56,Yes,Artist,0.0,Average,2.0,Cat_3
465573,Male,Yes,41,No,Artist,1.0,Average,6.0,Cat_6
458982,Male,Yes,61,Yes,Executive,1.0,High,3.0,Cat_6
466526,Male,No,33,No,Healthcare,1.0,Low,5.0,Cat_2
462114,Male,No,21,No,Healthcare,1.0,Low,4.0,Cat_6
467727,Male,Yes,45,Yes,Artist,7.0,High,4.0,Cat_3
460654,Female,Yes,48,No,Marketing,0.0,Average,2.0,Cat_4
464082,Male,Yes,77,Yes,Lawyer,0.0,Low,1.0,Cat_6
464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6
463230,Female,Yes,35,Yes,Engineer,5.0,High,3.0,Cat_6
463543,Male,No,18,No,Healthcare,1.0,Low,4.0,Cat_6
461579,Female,Yes,43,Yes,Artist,4.0,High,3.0,Cat_6
466343,Male,No,30,Yes,Doctor,0.0,Low,2.0,Cat_3
465780,Female,No,23,No,Healthcare,1.0,Low,4.0,Cat_6
461078,Female,No,26,No,Homemaker,0.0,Low,6.0,Cat_3
463030,Male,Yes,50,Yes,Executive,1.0,High,3.0,Cat_6
467462,Female,Yes,43,Yes,Artist,1.0,Average,5.0,Cat_6
464509,Male,Yes,53,Yes,Artist,0.0,High,4.0,Cat_6
464747,Female,Yes,69,No,Engineer,0.0,Average,4.0,Cat_4
463791,Female,No,28,Yes,Engineer,7.0,Low,1.0,Cat_6
459081,Male,Yes,63,Yes,Artist,0.0,Average,4.0,Cat_6
459462,Male,Yes,66,Yes,Artist,0.0,High,2.0,Cat_6
461067,Male,No,21,No,Healthcare,1.0,Low,3.0,Cat_3
466809,Female,Yes,33,Yes,Entertainment,0.0,Low,5.0,Cat_6
462620,Male,Yes,40,No,Engineer,6.0,Average,5.0,Cat_4
465622,Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6
467672,Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6
465919,Female,No,50,Yes,Artist,0.0,Low,1.0,Cat_6
460794,Female,Yes,39,Yes,Homemaker,9.0,Low,1.0,Cat_6
465174,Female,Yes,70,Yes,Entertainment,1.0,High,2.0,Cat_6
459989,Male,Yes,52,Yes,Artist,6.0,Average,2.0,Cat_6
463770,Male,No,25,No,Healthcare,1.0,Low,4.0,Cat_6
461760,Male,Yes,82,Yes,Artist,0.0,High,2.0,Cat_6
459484,Female,Yes,35,Yes,Entertainment,1.0,Average,2.0,Cat_6
460662,Female,No,46,No,Homemaker,9.0,Low,1.0,Cat_6
465611,Male,No,53,Yes,Doctor,0.0,Low,1.0,Cat_6
462622,Male,Yes,47,No,Executive,0.0,Low,4.0,Cat_4
465224,Male,Yes,61,Yes,Executive,0.0,Low,3.0,Cat_6
466615,Female,No,20,No,Healthcare,3.0,Low,3.0,Cat_1
461810,Female,Yes,62,Yes,Homemaker,1.0,Low,1.0,Cat_2
460043,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6
459330,Male,No,33,No,Marketing,11.0,Low,9.0,Cat_6
463937,Male,No,27,Yes,Entertainment,0.0,Low,4.0,Cat_2
463744,Female,No,27,Yes,Artist,1.0,Low,6.0,Cat_6
464580,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6
465169,Female,No,59,Yes,Doctor,0.0,Low,4.0,Cat_6
462511,Female,Yes,66,Yes,Lawyer,1.0,High,2.0,Cat_6
466450,Female,No,33,Yes,Healthcare,1.0,Low,1.0,Cat_6
465714,Female,Yes,63,Yes,Artist,1.0,Low,1.0,Cat_2
459957,Female,Yes,32,Yes,Artist,8.0,Low,3.0,Cat_6
462733,Male,Yes,55,No,Artist,0.0,Average,2.0,Cat_6
463115,Male,Yes,36,Yes,Homemaker,5.0,Low,1.0,Cat_6
460966,Female,Yes,58,Yes,Engineer,1.0,Average,4.0,Cat_6
466643,Female,Yes,68,Yes,Lawyer,9.0,High,4.0,Cat_6
461860,Female,Yes,81,Yes,Lawyer,1.0,High,2.0,Cat_6
461422,Male,Yes,52,Yes,Executive,1.0,Average,6.0,Cat_6
466535,Male,No,26,Yes,Artist,8.0,Low,1.0,Cat_6
461523,Male,Yes,78,Yes,Lawyer,0.0,High,5.0,Cat_6
465393,Male,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6
462768,Male,Yes,46,Yes,Artist,0.0,Average,3.0,Cat_6
465788,Male,No,22,No,Healthcare,1.0,Low,6.0,Cat_4
464633,Male,No,30,No,Executive,1.0,Low,4.0,Cat_4
467006,Female,No,73,Yes,Lawyer,0.0,Low,1.0,Cat_6
461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6
465944,Female,Yes,36,No,Engineer,4.0,High,3.0,Cat_7
464491,Female,No,43,No,Doctor,8.0,Low,1.0,Cat_4
467810,Male,Yes,42,Yes,Artist,0.0,Average,5.0,Cat_6
462788,Male,Yes,48,No,Entertainment,1.0,Average,3.0,Cat_3
463959,Female,No,37,No,Artist,1.0,Low,1.0,Cat_6
464663,Male,Yes,73,No,Executive,1.0,High,2.0,Cat_4
458999,Male,Yes,55,Yes,Artist,1.0,Average,2.0,Cat_6
461599,Female,No,42,Yes,Artist,8.0,Low,1.0,Cat_6
465793,Male,No,25,No,Healthcare,1.0,Low,5.0,Cat_4
461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6
461542,Male,No,26,Yes,Artist,5.0,Low,1.0,Cat_1
461307,Male,No,23,No,Healthcare,1.0,Low,4.0,Cat_6
464764,Female,Yes,60,No,Engineer,1.0,High,9.0,Cat_4
464532,Female,Yes,68,Yes,Lawyer,0.0,High,2.0,Cat_6
459767,Male,No,21,No,Healthcare,4.0,Low,4.0,Cat_6
465981,Male,No,28,No,Artist,0.0,Low,2.0,Cat_6
459902,Male,Yes,52,Yes,Lawyer,8.0,High,2.0,Cat_6
460914,Female,No,36,Yes,Artist,9.0,Low,2.0,Cat_6
464972,Male,Yes,67,No,Lawyer,0.0,High,9.0,Cat_4
460864,Female,No,20,No,Artist,0.0,Low,3.0,Cat_6
467250,Male,Yes,63,Yes,Entertainment,6.0,Low,2.0,Cat_6
464097,Male,Yes,35,Yes,Doctor,5.0,High,2.0,Cat_6
466629,Male,No,28,No,Healthcare,1.0,Low,5.0,Cat_6
459308,Female,Yes,47,Yes,Artist,0.0,Average,2.0,Cat_6
459549,Male,No,22,No,Healthcare,9.0,Low,5.0,Cat_4
467105,Female,Yes,45,Yes,Lawyer,0.0,Low,1.0,Cat_6
465470,Female,Yes,61,No,Engineer,1.0,Average,2.0,Cat_6
464066,Female,No,29,Yes,Healthcare,9.0,Low,3.0,Cat_4
466091,Female,Yes,46,Yes,Artist,1.0,Low,4.0,Cat_4
467519,Male,No,19,No,Healthcare,0.0,Low,3.0,Cat_6
467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1
465428,Female,No,36,Yes,Engineer,0.0,Low,1.0,Cat_4
461164,Female,No,39,Yes,Doctor,9.0,Low,1.0,Cat_3
460166,Female,No,21,No,Healthcare,1.0,Low,7.0,Cat_2
467417,Female,Yes,53,Yes,Artist,4.0,Average,6.0,Cat_6
467887,Female,No,42,Yes,Artist,0.0,Low,2.0,Cat_1
464713,Female,Yes,71,Yes,Artist,0.0,High,4.0,Cat_1
467959,Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2
460941,Male,Yes,72,No,Engineer,1.0,Low,1.0,Cat_6
465515,Female,Yes,47,Yes,Artist,1.0,High,6.0,Cat_6
459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6
464058,Male,Yes,86,Yes,Healthcare,0.0,Low,1.0,Cat_6
461120,Male,No,20,No,Healthcare,1.0,Low,3.0,Cat_3
461417,Female,No,37,Yes,Doctor,1.0,Low,3.0,Cat_6
460089,Female,Yes,65,Yes,Artist,13.0,Low,1.0,Cat_6
466975,Male,Yes,51,Yes,Artist,0.0,Average,2.0,Cat_6
465475,Female,Yes,36,Yes,Entertainment,0.0,Average,3.0,Cat_6
462844,Female,Yes,30,No,Engineer,0.0,Average,2.0,Cat_6
459952,Female,No,35,Yes,Entertainment,7.0,Low,2.0,Cat_6
460083,Female,No,52,Yes,Artist,9.0,Low,1.0,Cat_6
459237,Male,No,29,Yes,Artist,1.0,Low,6.0,Cat_6
463000,Female,No,36,No,Engineer,0.0,Low,1.0,Cat_6
466301,Male,Yes,50,Yes,Artist,0.0,Average,3.0,Cat_2
463109,Male,Yes,61,Yes,Executive,9.0,High,2.0,Cat_6
467966,Female,No,31,Yes,Entertainment,9.0,Low,3.0,Cat_7
459120,Male,No,23,No,Healthcare,5.0,Low,5.0,Cat_2
459834,Male,Yes,45,No,Doctor,1.0,Average,3.0,Cat_6
461515,Male,Yes,26,No,Artist,0.0,Low,2.0,Cat_6
459138,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6
460980,Male,No,26,No,Entertainment,1.0,Low,3.0,Cat_3
465492,Male,Yes,61,No,Entertainment,1.0,Low,1.0,Cat_2
463721,Female,No,31,Yes,Healthcare,1.0,Low,4.0,Cat_2
462041,Female,No,22,No,Doctor,0.0,Low,2.0,Cat_4
465106,Male,Yes,53,Yes,Executive,1.0,High,2.0,Cat_6
460020,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6
461869,Male,Yes,87,Yes,Lawyer,0.0,Low,1.0,Cat_6
463530,Female,No,32,No,Entertainment,12.0,Low,5.0,Cat_6
459723,Male,Yes,49,Yes,Artist,6.0,Average,2.0,Cat_6
462333,Female,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_6
462653,Male,Yes,48,Yes,Executive,0.0,Average,4.0,Cat_4
460883,Male,Yes,68,Yes,Artist,0.0,High,2.0,Cat_6
460005,Male,No,43,Yes,Engineer,0.0,Low,1.0,Cat_6
462541,Male,Yes,70,Yes,Engineer,4.0,High,2.0,Cat_6
464522,Female,No,42,Yes,Engineer,11.0,Low,1.0,Cat_6
461109,Male,No,31,Yes,Healthcare,0.0,Low,3.0,Cat_3
459181,Male,Yes,58,No,Artist,0.0,High,3.0,Cat_6
467439,Male,Yes,37,Yes,Entertainment,1.0,Low,4.0,Cat_6
466070,Female,Yes,61,Yes,Artist,1.0,Average,5.0,Cat_6
459560,Male,Yes,89,No,Lawyer,1.0,High,2.0,Cat_6
467276,Male,No,43,Yes,Artist,12.0,Low,5.0,Cat_6
466308,Male,No,33,Yes,Healthcare,0.0,Low,2.0,Cat_6
465153,Male,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6
459521,Female,Yes,46,Yes,Artist,0.0,Average,4.0,Cat_1
464982,Male,Yes,71,Yes,Executive,1.0,High,4.0,Cat_6
462995,Male,Yes,36,Yes,Artist,0.0,Average,5.0,Cat_6
460716,Male,Yes,52,Yes,Entertainment,0.0,Average,4.0,Cat_6
466579,Male,No,21,No,Marketing,0.0,Low,5.0,Cat_1
465525,Female,Yes,38,Yes,Healthcare,3.0,Average,3.0,Cat_2
462085,Female,No,30,Yes,Healthcare,0.0,Low,1.0,Cat_6
460445,Male,No,29,Yes,Engineer,0.0,Low,4.0,Cat_3
462161,Female,No,28,Yes,Doctor,0.0,Low,3.0,Cat_6
463898,Female,No,38,Yes,Healthcare,0.0,Low,2.0,Cat_6
463930,Male,Yes,49,Yes,Artist,1.0,Average,2.0,Cat_6
461259,Male,No,59,Yes,Entertainment,0.0,Low,1.0,Cat_4
465260,Female,No,22,No,Healthcare,8.0,Low,6.0,Cat_6
461589,Male,Yes,41,Yes,Artist,1.0,Average,2.0,Cat_6
462392,Female,No,32,Yes,Entertainment,1.0,Low,3.0,Cat_6
461000,Male,Yes,61,No,Marketing,1.0,High,2.0,Cat_3
461381,Male,Yes,31,Yes,Entertainment,0.0,Average,2.0,Cat_6
462702,Male,Yes,51,No,Entertainment,1.0,Average,4.0,Cat_4
463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6
464839,Female,No,20,No,Healthcare,1.0,Low,5.0,Cat_4
463567,Male,Yes,40,Yes,Doctor,1.0,Average,2.0,Cat_6
462386,Female,No,26,Yes,Healthcare,1.0,Low,5.0,Cat_6
467558,Male,Yes,50,Yes,Doctor,0.0,Average,8.0,Cat_6
466014,Female,Yes,47,No,Engineer,0.0,High,2.0,Cat_4
466872,Male,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_3
461409,Male,Yes,43,No,Artist,1.0,High,3.0,Cat_6
463328,Female,No,23,No,Healthcare,0.0,Low,4.0,Cat_6
463275,Male,Yes,29,No,Entertainment,7.0,Average,2.0,Cat_3
466263,Male,No,53,Yes,Artist,0.0,Low,2.0,Cat_4
466823,Male,Yes,40,Yes,Artist,1.0,Low,2.0,Cat_6
467482,Male,Yes,38,Yes,Executive,0.0,High,3.0,Cat_6
464142,Female,Yes,76,Yes,Artist,1.0,High,2.0,Cat_6
464903,Male,Yes,28,No,Entertainment,0.0,Average,2.0,Cat_4
461855,Female,Yes,52,Yes,Artist,1.0,Average,2.0,Cat_6
465264,Male,Yes,88,No,Executive,0.0,Low,1.0,Cat_6
460753,Female,No,33,No,Healthcare,1.0,Low,6.0,Cat_6
463429,Female,No,28,Yes,Artist,7.0,Low,3.0,Cat_6
462065,Female,No,43,Yes,Homemaker,14.0,Low,1.0,Cat_6
466680,Male,No,22,No,Engineer,0.0,Low,4.0,Cat_6
459443,Female,Yes,50,Yes,Artist,8.0,Average,2.0,Cat_6
462466,Male,Yes,52,Yes,Executive,0.0,High,4.0,Cat_6
459604,Female,No,21,No,Healthcare,0.0,Low,7.0,Cat_3
466248,Male,No,41,Yes,Doctor,1.0,Low,1.0,Cat_2
463882,Female,Yes,43,Yes,Artist,1.0,Low,1.0,Cat_1
465203,Male,No,32,Yes,Healthcare,2.0,Low,3.0,Cat_6
467831,Male,Yes,39,Yes,Artist,0.0,Average,2.0,Cat_6
463816,Male,Yes,53,Yes,Healthcare,3.0,High,4.0,Cat_7
461156,Male,No,22,No,Marketing,3.0,Low,6.0,Cat_3
460391,Male,Yes,21,No,Entertainment,0.0,Low,3.0,Cat_6
461946,Male,No,31,Yes,Healthcare,1.0,Low,3.0,Cat_6
462477,Male,No,25,Yes,Entertainment,7.0,Low,3.0,Cat_6
460559,Female,No,49,Yes,Healthcare,8.0,Low,1.0,Cat_3
465609,Female,No,21,No,Healthcare,1.0,Low,4.0,Cat_2
461280,Male,No,20,No,Healthcare,7.0,Low,4.0,Cat_2
465272,Male,Yes,39,Yes,Executive,0.0,High,6.0,Cat_6
461391,Male,Yes,65,Yes,Entertainment,3.0,Low,3.0,Cat_6
462442,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6
461305,Male,No,22,No,Healthcare,1.0,Low,3.0,Cat_6
467756,Male,Yes,56,Yes,Artist,1.0,Average,2.0,Cat_6
465914,Female,No,46,Yes,Artist,3.0,Low,2.0,Cat_6
461797,Male,No,30,Yes,Healthcare,1.0,Low,3.0,Cat_6
467415,Female,No,31,Yes,Healthcare,1.0,Low,1.0,Cat_6
459636,Male,No,30,Yes,Entertainment,14.0,Low,1.0,Cat_6
463790,Male,Yes,51,No,Executive,0.0,Low,4.0,Cat_4
465782,Female,No,21,No,Healthcare,5.0,Low,5.0,Cat_3
465755,Female,No,50,Yes,Artist,8.0,Low,3.0,Cat_6
459529,Female,Yes,89,No,Lawyer,1.0,High,2.0,Cat_6
465905,Female,No,32,Yes,Artist,9.0,Low,1.0,Cat_6
467040,Male,No,32,Yes,Doctor,0.0,Low,4.0,Cat_3
463942,Male,No,26,No,Healthcare,0.0,Low,4.0,Cat_4
461323,Female,Yes,41,Yes,Healthcare,6.0,Average,2.0,Cat_6
459367,Female,No,22,No,Doctor,11.0,Low,4.0,Cat_1
463446,Male,Yes,58,Yes,Artist,0.0,Average,3.0,Cat_3
462595,Female,No,29,Yes,Artist,7.0,Low,7.0,Cat_4
464258,Female,Yes,88,No,Lawyer,0.0,High,2.0,Cat_6
467878,Female,Yes,42,Yes,Doctor,0.0,Average,4.0,Cat_6
460253,Male,Yes,52,Yes,Artist,4.0,Average,2.0,Cat_6
467940,Female,No,29,No,Marketing,9.0,Low,4.0,Cat_2
467707,Male,Yes,82,Yes,Lawyer,5.0,High,2.0,Cat_6
464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6
465824,Male,Yes,68,No,Lawyer,2.0,Low,3.0,Cat_4
467021,Female,Yes,80,No,Lawyer,1.0,High,2.0,Cat_6
462385,Male,No,23,No,Doctor,4.0,Low,3.0,Cat_6
461386,Female,Yes,82,No,Lawyer,0.0,High,2.0,Cat_6
461472,Female,Yes,41,Yes,Artist,0.0,Average,2.0,Cat_6
459745,Male,Yes,47,No,Artist,0.0,Low,4.0,Cat_1
459709,Female,Yes,47,Yes,Artist,7.0,Average,4.0,Cat_6
465763,Female,Yes,37,No,Artist,0.0,Average,2.0,Cat_4
466695,Female,Yes,31,Yes,Entertainment,1.0,Low,1.0,Cat_6
459230,Male,Yes,43,No,Artist,7.0,High,4.0,Cat_6
460181,Female,Yes,37,Yes,Marketing,9.0,Low,1.0,Cat_6
465565,Male,Yes,37,Yes,Artist,1.0,Average,2.0,Cat_6
462666,Male,Yes,48,Yes,Artist,0.0,Low,2.0,Cat_6
465586,Male,Yes,72,No,Artist,1.0,Low,1.0,Cat_6
460780,Female,No,30,Yes,Healthcare,1.0,Low,2.0,Cat_3
464428,Female,Yes,89,Yes,Entertainment,6.0,Average,4.0,Cat_2
459759,Female,Yes,38,Yes,Artist,0.0,Average,3.0,Cat_6
465336,Female,No,41,Yes,Doctor,9.0,Low,1.0,Cat_4
461644,Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6
461694,Male,No,32,Yes,Doctor,0.0,Low,4.0,Cat_4
459787,Male,Yes,71,No,Lawyer,0.0,Low,1.0,Cat_6
467203,Female,Yes,36,Yes,Artist,5.0,Average,2.0,Cat_6
464130,Male,No,41,Yes,Artist,1.0,Low,3.0,Cat_6
462341,Male,Yes,61,Yes,Artist,2.0,Average,2.0,Cat_6
459385,Female,Yes,41,Yes,Artist,0.0,Average,2.0,Cat_7
464559,Female,No,35,Yes,Healthcare,9.0,Low,1.0,Cat_6
464883,Female,Yes,37,No,Engineer,1.0,Low,4.0,Cat_4
467876,Female,Yes,47,Yes,Artist,8.0,High,2.0,Cat_6
463633,Male,Yes,33,Yes,Doctor,0.0,Average,2.0,Cat_6
464077,Female,Yes,60,Yes,Artist,4.0,High,2.0,Cat_6
465527,Female,No,26,No,Entertainment,6.0,Low,8.0,Cat_4
460823,Female,Yes,75,Yes,Lawyer,1.0,High,2.0,Cat_6
465680,Male,Yes,31,No,Healthcare,0.0,Average,5.0,Cat_4
465735,Female,Yes,35,Yes,Artist,1.0,Low,2.0,Cat_3
466625,Male,Yes,49,Yes,Artist,0.0,Average,2.0,Cat_7
463228,Female,Yes,56,Yes,Artist,0.0,Average,5.0,Cat_6
463247,Male,No,45,Yes,Entertainment,1.0,Low,1.0,Cat_7
463137,Female,No,31,Yes,Homemaker,8.0,Low,1.0,Cat_6
464768,Female,Yes,43,No,Engineer,9.0,Average,4.0,Cat_4
461362,Female,No,27,Yes,Doctor,0.0,Low,4.0,Cat_6
466126,Female,Yes,57,No,Engineer,0.0,Low,1.0,Cat_6
465160,Male,Yes,62,Yes,Executive,1.0,High,3.0,Cat_6
465407,Female,No,27,Yes,Homemaker,3.0,Low,7.0,Cat_6
465792,Female,Yes,57,Yes,Engineer,1.0,Low,4.0,Cat_3
466859,Male,No,22,No,Healthcare,0.0,Low,5.0,Cat_2
467697,Female,No,39,Yes,Healthcare,0.0,Low,1.0,Cat_6
460430,Male,No,32,No,Doctor,12.0,Low,4.0,Cat_6
466866,Male,Yes,27,No,Entertainment,14.0,Average,2.0,Cat_6
460983,Male,Yes,38,No,Doctor,0.0,High,4.0,Cat_6
467056,Female,No,31,No,Homemaker,8.0,Low,1.0,Cat_6
459366,Female,Yes,41,Yes,Artist,0.0,Low,4.0,Cat_6
461610,Male,No,36,Yes,Doctor,0.0,Low,1.0,Cat_6
461935,Male,Yes,51,Yes,Artist,1.0,Low,3.0,Cat_6
462505,Male,Yes,40,No,Executive,0.0,Low,4.0,Cat_4
459757,Male,Yes,67,Yes,Artist,1.0,Average,2.0,Cat_6
464443,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6
462050,Male,No,19,No,Healthcare,4.0,Low,3.0,Cat_2
467038,Male,Yes,61,Yes,Lawyer,1.0,High,2.0,Cat_6
463674,Female,No,25,Yes,Engineer,0.0,Low,7.0,Cat_4
465000,Male,Yes,50,Yes,Executive,1.0,High,3.0,Cat_6
463515,Female,Yes,41,Yes,Artist,11.0,Average,4.0,Cat_6
460294,Female,Yes,50,Yes,Doctor,1.0,Low,2.0,Cat_6
466812,Male,No,31,No,Homemaker,14.0,Low,1.0,Cat_6
463439,Male,Yes,42,Yes,Artist,9.0,Average,3.0,Cat_6
463842,Female,Yes,48,Yes,Engineer,0.0,High,4.0,Cat_6
461671,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6
466455,Female,Yes,30,Yes,Doctor,4.0,Low,2.0,Cat_6
464201,Female,No,30,No,Healthcare,0.0,Low,9.0,Cat_6
464867,Female,Yes,47,Yes,Doctor,1.0,Average,2.0,Cat_4
459685,Male,Yes,36,Yes,Artist,0.0,Average,2.0,Cat_7
462032,Female,Yes,69,Yes,Artist,0.0,Low,2.0,Cat_6
460289,Female,Yes,60,Yes,Artist,2.0,Average,6.0,Cat_4
462547,Male,No,22,No,Healthcare,9.0,Low,4.0,Cat_6
464434,Male,Yes,45,Yes,Artist,0.0,Average,4.0,Cat_6
464277,Male,No,25,Yes,Artist,2.0,Low,1.0,Cat_6
460319,Female,Yes,40,No,Doctor,2.0,Average,2.0,Cat_7
463909,Female,No,25,Yes,Healthcare,1.0,Low,3.0,Cat_6
463988,Female,Yes,35,Yes,Entertainment,9.0,Average,2.0,Cat_2
461408,Male,Yes,46,Yes,Marketing,1.0,Low,3.0,Cat_6
465867,Female,Yes,35,Yes,Artist,8.0,High,5.0,Cat_6
466396,Female,No,19,No,Healthcare,1.0,Low,5.0,Cat_3
459737,Female,Yes,81,Yes,Lawyer,8.0,High,2.0,Cat_6
460199,Female,Yes,39,Yes,Entertainment,5.0,Low,2.0,Cat_6
460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6
459395,Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6
460048,Male,No,47,Yes,Doctor,1.0,Low,1.0,Cat_6
461830,Male,Yes,42,Yes,Executive,1.0,High,3.0,Cat_6
465389,Male,Yes,46,Yes,Artist,1.0,Low,2.0,Cat_6
461990,Female,Yes,68,Yes,Lawyer,0.0,Low,2.0,Cat_6
467152,Male,Yes,43,No,Artist,8.0,Low,1.0,Cat_6
462731,Female,Yes,43,Yes,Artist,5.0,High,3.0,Cat_6
459213,Female,No,38,Yes,Healthcare,0.0,Low,4.0,Cat_6
460873,Male,Yes,46,Yes,Entertainment,0.0,Average,3.0,Cat_4
466940,Male,Yes,79,No,Lawyer,0.0,Low,1.0,Cat_6
462207,Male,No,26,No,Doctor,0.0,Low,6.0,Cat_4
459349,Female,Yes,48,Yes,Artist,0.0,High,4.0,Cat_6
459871,Female,Yes,78,No,Entertainment,3.0,Average,2.0,Cat_6
463414,Male,Yes,25,No,Executive,0.0,High,3.0,Cat_1
