ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size
133,Female,Yes,48,Yes,Engineer,1.0,High,3.0
134,Male,Yes,49,Yes,Artist,,Average,2.0
135,Male,,19,No,Artist,10.0,Low,3.0
136,Female,,28,Yes,Entertainment,,Low,4.0
137,Female,Yes,37,No,Engineer,3.0,High,2.0
138,Male,Yes,38,No,Executive,5.0,High,3.0
139,Male,Yes,82,Yes,Lawyer,,Low,1.0
140,Male,Yes,53,Yes,Healthcare,,High,4.0
141,Male,,23,No,Doctor,6.0,Low,4.0
142,Female,Yes,49,Yes,Artist,1.0,Average,4.0
143,Male,Yes,48,No,Executive,5.0,High,2.0
144,Male,Yes,65,Yes,Lawyer,1.0,High,2.0
145,Female,Yes,49,Yes,Artist,,Average,4.0
146,Female,,85,Yes,Lawyer,,Low,3.0
147,Female,Yes,77,Yes,Lawyer,6.0,High,2.0
148,Female,Yes,53,No,Entertainment,9.0,High,2.0
149,Female,Yes,55,Yes,Artist,,Average,4.0
150,Female,Yes,87,Yes,Lawyer,,Low,2.0
151,Male,Yes,42,Yes,Entertainment,1.0,Low,2.0
152,Male,,63,Yes,Artist,,Low,1.0
153,Female,,42,Yes,Artist,1.0,Low,2.0
154,Male,Yes,51,Yes,Executive,3.0,High,5.0
155,Male,Yes,36,Yes,Entertainment,5.0,Low,2.0
156,Male,Yes,63,No,Entertainment,1.0,Average,5.0
157,Female,,29,Yes,Homemaker,13.0,Low,1.0
158,Male,Yes,36,Yes,Executive,1.0,Low,3.0
159,Male,Yes,86,Yes,Lawyer,,Low,1.0
160,Male,,30,No,Healthcare,,Low,4.0
161,Female,,39,Yes,Engineer,1.0,Low,3.0
162,Male,,25,Yes,Doctor,6.0,Low,1.0
163,Male,Yes,61,Yes,Entertainment,11.0,Average,3.0
164,Female,,41,Yes,Artist,,Low,1.0
165,Female,,53,Yes,Artist,9.0,Low,1.0
166,Female,,35,Yes,Artist,13.0,Low,2.0
167,Male,Yes,61,Yes,Artist,1.0,Low,2.0
168,Female,,43,Yes,Healthcare,2.0,Low,1.0
169,Female,Yes,35,Yes,Artist,7.0,Average,2.0
170,Female,,43,Yes,Entertainment,,Low,6.0
171,Female,,43,Yes,Artist,,Low,1.0
172,Female,,35,Yes,Artist,5.0,Low,1.0
173,Male,,36,Yes,Artist,6.0,Low,3.0
174,Male,Yes,60,Yes,Executive,,High,3.0
175,Male,Yes,26,No,Executive,9.0,High,4.0
176,Female,,20,No,Marketing,7.0,Low,2.0
177,Female,Yes,26,Yes,Artist,12.0,Average,2.0
178,Male,,38,Yes,Doctor,,Low,3.0
179,Female,Yes,52,Yes,Engineer,4.0,High,2.0
180,Female,Yes,42,No,Artist,8.0,High,5.0
181,Female,,20,No,Healthcare,1.0,Low,3.0
182,Male,Yes,51,No,Artist,2.0,Average,4.0
183,Male,,27,Yes,Entertainment,1.0,Low,5.0
184,Male,Yes,71,Yes,Artist,,Average,5.0
185,Male,Yes,50,Yes,Executive,1.0,High,3.0
186,Male,,36,Yes,Executive,9.0,Low,3.0
187,Female,Yes,87,Yes,Lawyer,,High,2.0
188,Female,,18,No,Healthcare,1.0,Low,3.0
189,Male,Yes,35,Yes,Doctor,5.0,High,2.0
190,Male,Yes,85,Yes,Executive,1.0,High,2.0
191,Female,,32,No,Healthcare,1.0,Low,4.0
192,Male,,26,No,Doctor,1.0,Low,3.0
193,Female,Yes,66,Yes,Artist,,High,3.0
194,Male,,22,No,Healthcare,,Low,4.0
195,Male,Yes,65,No,Doctor,1.0,Low,1.0
196,Male,,29,No,Healthcare,1.0,Low,6.0
197,Male,,26,No,Healthcare,,Low,4.0
198,Male,Yes,58,Yes,Artist,7.0,Low,2.0
199,Male,Yes,57,Yes,Homemaker,5.0,High,2.0
200,Female,,40,Yes,Artist,6.0,Low,1.0
201,Female,,33,No,Healthcare,1.0,Low,7.0
202,Female,Yes,62,Yes,Lawyer,,Low,2.0
203,Male,Yes,43,Yes,Artist,5.0,Average,2.0
204,Female,Yes,58,Yes,Artist,1.0,Average,2.0
205,Male,,25,Yes,Healthcare,8.0,Low,3.0
206,Male,Yes,53,No,Executive,,Average,5.0
207,Female,,35,Yes,Artist,1.0,Low,1.0
208,Female,,39,Yes,Engineer,1.0,Low,1.0
209,Male,,33,No,Entertainment,6.0,Low,2.0
210,Male,Yes,61,Yes,Entertainment,1.0,Average,2.0
211,Female,Yes,73,Yes,Doctor,,Low,1.0
212,Female,Yes,70,Yes,Lawyer,,High,2.0
213,Female,Yes,85,Yes,Lawyer,,High,2.0
214,Male,,28,Yes,Healthcare,1.0,Low,3.0
215,Male,,25,No,Healthcare,1.0,Low,5.0
216,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0
217,Male,Yes,35,Yes,Executive,9.0,High,4.0
218,Male,Yes,50,Yes,Executive,,High,4.0
219,Male,Yes,58,Yes,Executive,3.0,Average,4.0
220,Male,Yes,63,Yes,Executive,1.0,High,1.0
221,Male,Yes,47,No,Executive,,High,5.0
222,Male,,32,Yes,Artist,,Low,3.0
223,Female,,30,No,Entertainment,,Low,3.0
224,Male,Yes,38,Yes,Entertainment,1.0,Average,2.0
225,Female,Yes,56,Yes,Entertainment,,Average,2.0
226,Male,,41,Yes,Artist,1.0,Low,3.0
227,Female,Yes,53,Yes,Artist,1.0,Average,3.0
228,Female,Yes,81,Yes,Lawyer,1.0,High,2.0
229,Female,,33,No,Doctor,1.0,Low,3.0
230,Female,Yes,48,Yes,Entertainment,2.0,Low,1.0
231,Female,Yes,62,Yes,Artist,1.0,Low,2.0
232,Male,Yes,84,No,Lawyer,1.0,High,2.0
233,Male,Yes,26,No,Artist,3.0,Low,2.0
234,Male,Yes,35,Yes,Artist,,Low,3.0
235,Male,Yes,49,No,Artist,,Low,2.0
236,Male,Yes,50,Yes,Artist,1.0,Average,4.0
237,Male,Yes,40,No,Doctor,,Average,2.0
238,Female,Yes,38,Yes,Artist,8.0,Low,1.0
239,Female,Yes,52,Yes,Artist,2.0,Average,4.0
240,Female,Yes,89,No,Lawyer,1.0,High,2.0
241,Male,,39,Yes,Entertainment,9.0,Low,2.0
242,Female,Yes,32,Yes,Artist,,Average,2.0
243,Male,,19,No,Healthcare,13.0,Low,3.0
244,Female,Yes,39,Yes,Engineer,,Average,2.0
245,Female,Yes,88,Yes,Lawyer,1.0,Low,1.0
246,Male,Yes,28,Yes,Healthcare,8.0,High,2.0
247,Female,Yes,45,Yes,Engineer,,High,5.0
248,Female,,22,No,Doctor,,Low,2.0
249,Female,Yes,35,Yes,Artist,1.0,Low,2.0
250,Male,Yes,42,Yes,Healthcare,,Average,4.0
251,Male,,32,Yes,Artist,13.0,Low,3.0
252,Female,Yes,26,No,Homemaker,8.0,Average,4.0
253,Female,Yes,26,No,Entertainment,1.0,Average,2.0
254,Female,Yes,77,No,Lawyer,,High,3.0
255,Female,Yes,80,No,Lawyer,1.0,High,2.0
256,Female,,57,Yes,Doctor,,Low,2.0
257,Female,Yes,46,Yes,Artist,,Low,1.0
258,Male,Yes,53,Yes,Executive,1.0,High,3.0
259,Female,Yes,29,Yes,Homemaker,,High,2.0
260,Female,,25,No,Engineer,5.0,Low,3.0
261,Male,Yes,65,Yes,Entertainment,1.0,Low,1.0
262,Male,,29,Yes,Healthcare,,Low,4.0
263,Male,,18,No,Entertainment,,Low,5.0
264,Male,Yes,38,No,Executive,1.0,High,4.0
265,Male,Yes,35,Yes,Artist,12.0,Average,2.0
266,Male,Yes,69,Yes,Lawyer,,High,3.0
267,Male,Yes,26,No,Entertainment,8.0,Low,2.0
268,Female,Yes,50,Yes,Entertainment,4.0,Low,2.0
269,Female,Yes,58,Yes,Artist,4.0,Average,5.0
270,Female,Yes,60,Yes,Artist,1.0,Average,2.0
271,Male,Yes,26,Yes,Healthcare,6.0,Low,2.0
272,Female,,38,Yes,Artist,9.0,Low,1.0
273,Female,Yes,49,No,Artist,1.0,Average,4.0
274,Male,Yes,39,Yes,Doctor,6.0,Average,2.0
275,Female,Yes,27,No,Healthcare,,Low,2.0
276,Female,,20,No,Healthcare,,Low,2.0
277,Female,,71,No,Engineer,1.0,Low,1.0
278,Male,Yes,76,Yes,Lawyer,1.0,High,2.0
279,Female,Yes,52,No,Engineer,6.0,Average,4.0
280,Female,Yes,72,Yes,Artist,3.0,Average,3.0
281,Male,,22,No,Healthcare,,Low,4.0
282,Female,Yes,81,Yes,Lawyer,7.0,High,2.0
283,Female,Yes,43,Yes,Healthcare,,Average,2.0
284,Male,Yes,45,Yes,Entertainment,,Low,4.0
285,Male,Yes,67,Yes,Doctor,1.0,Average,4.0
286,Female,,26,No,Marketing,,Low,4.0
287,Female,Yes,56,No,Engineer,1.0,Average,5.0
288,Male,,23,No,Healthcare,,Low,6.0
289,Female,Yes,50,Yes,Doctor,,Average,2.0
290,Female,,21,No,Engineer,,Low,5.0
291,Female,Yes,52,Yes,Engineer,,Low,3.0
292,Female,Yes,89,Yes,Artist,,High,3.0
293,Female,Yes,70,Yes,Artist,1.0,Average,2.0
294,Male,Yes,43,No,Artist,,Average,2.0
295,Female,Yes,37,Yes,Doctor,,Low,2.0
296,Female,Yes,89,Yes,Lawyer,1.0,High,3.0
297,Female,,28,Yes,Engineer,1.0,Low,6.0
298,Male,Yes,60,No,Executive,,High,2.0
299,Male,Yes,88,Yes,Lawyer,,High,2.0
300,Male,Yes,50,Yes,Artist,,Low,1.0
301,Male,Yes,39,Yes,Artist,,Average,2.0
302,Male,,19,No,Healthcare,4.0,Low,4.0
303,Male,Yes,37,Yes,Healthcare,1.0,Average,2.0
304,Male,Yes,41,No,Executive,1.0,Low,7.0
305,Male,Yes,56,Yes,Artist,,Average,4.0
306,Female,,40,Yes,Artist,1.0,Low,1.0
307,Male,Yes,38,No,Doctor,,High,4.0
308,Female,,22,No,Healthcare,,Low,4.0
309,Male,Yes,46,Yes,Artist,,Low,2.0
310,Female,,43,Yes,Artist,1.0,Low,1.0
311,Male,,31,Yes,Entertainment,1.0,Low,3.0
312,Female,,39,Yes,Artist,,Low,3.0
313,Female,,39,Yes,Artist,3.0,Low,2.0
314,Female,,30,No,Engineer,,Low,3.0
315,Female,,39,Yes,Entertainment,11.0,Low,1.0
316,Male,,22,No,Healthcare,1.0,Low,2.0
317,Male,Yes,79,Yes,Lawyer,2.0,High,2.0
318,Male,Yes,84,No,Lawyer,,Low,1.0
319,Female,Yes,45,Yes,Artist,8.0,High,3.0
320,Female,,43,Yes,Artist,8.0,Low,1.0
321,Male,,28,Yes,Healthcare,7.0,Low,4.0
322,Female,,51,Yes,Artist,,Low,1.0
323,Female,,23,No,Healthcare,9.0,Low,4.0
324,Male,Yes,50,Yes,Artist,1.0,Average,3.0
325,Female,,28,Yes,Healthcare,9.0,Low,3.0
326,Male,Yes,38,No,Doctor,,Average,5.0
327,Male,Yes,73,Yes,Lawyer,,High,4.0
328,Female,Yes,74,Yes,Lawyer,12.0,High,2.0
329,Male,Yes,47,Yes,Artist,,Average,2.0
330,Male,,36,Yes,Artist,9.0,Low,3.0
331,Female,Yes,31,No,Engineer,9.0,Low,4.0
332,Female,,20,No,Healthcare,,Low,5.0
333,Male,Yes,55,Yes,Entertainment,,Average,4.0
334,Female,,40,Yes,Artist,,Low,1.0
335,Female,,42,Yes,Engineer,8.0,Low,3.0
336,Male,,32,Yes,Doctor,,Low,4.0
337,Male,Yes,51,Yes,Engineer,,Low,2.0
338,Female,,43,Yes,Artist,,Low,3.0
339,Male,,32,Yes,Healthcare,1.0,Low,3.0
340,Female,Yes,61,Yes,Artist,,Average,3.0
341,Male,Yes,35,No,Entertainment,8.0,Average,4.0
342,Male,Yes,39,Yes,Healthcare,11.0,Average,2.0
343,Male,Yes,81,Yes,Lawyer,1.0,Low,1.0
344,Male,,31,Yes,Healthcare,9.0,Low,3.0
345,Male,Yes,47,Yes,Artist,1.0,Average,2.0
346,Female,,31,Yes,Healthcare,9.0,Low,3.0
347,Male,,21,No,Healthcare,1.0,Low,6.0
348,Male,Yes,43,Yes,Artist,2.0,Low,2.0
349,Male,,21,No,Healthcare,7.0,Low,4.0
350,Male,Yes,32,Yes,Artist,9.0,Average,2.0
351,Male,,35,Yes,Artist,,Low,1.0
352,Male,Yes,47,Yes,Artist,13.0,Low,1.0
353,Female,Yes,39,Yes,Artist,,Low,1.0
354,Male,,31,No,Healthcare,9.0,Low,8.0
355,Male,Yes,36,Yes,Artist,,High,3.0
356,Male,,21,No,Healthcare,13.0,Low,6.0
357,Male,,19,No,Entertainment,,Low,3.0
358,Male,Yes,85,No,Executive,1.0,High,2.0
359,Female,Yes,50,Yes,Artist,1.0,Low,3.0
360,Female,Yes,33,No,Homemaker,8.0,Average,4.0
361,Female,Yes,48,Yes,Artist,1.0,Low,1.0
362,Female,,18,No,Healthcare,6.0,Low,3.0
363,Male,,19,No,Marketing,,Low,5.0
364,Male,Yes,52,Yes,Artist,,Average,6.0
365,Female,,28,No,Healthcare,1.0,Low,2.0
366,Female,,22,No,Healthcare,8.0,Low,4.0
367,Female,,37,Yes,Healthcare,1.0,Low,3.0
368,Male,,22,No,Healthcare,,Low,8.0
369,Male,,42,Yes,Doctor,1.0,Low,1.0
370,Male,Yes,43,Yes,Healthcare,5.0,Average,2.0
371,Female,,18,No,Healthcare,,Low,5.0
372,Male,Yes,63,Yes,Artist,1.0,Low,1.0
373,Male,,33,Yes,Artist,1.0,Low,2.0
374,Female,,29,No,Engineer,,Low,6.0
375,Male,Yes,26,No,Doctor,9.0,Average,2.0
376,Female,,28,No,Doctor,14.0,Low,1.0
377,Female,,43,Yes,Marketing,1.0,Low,1.0
378,Female,,29,Yes,Artist,1.0,Low,3.0
379,Female,Yes,61,Yes,Artist,1.0,Average,5.0
380,Male,,37,Yes,Artist,,Low,1.0
381,Male,,32,Yes,Doctor,,Low,4.0
382,Female,Yes,52,Yes,Artist,1.0,Average,3.0
383,Female,,70,Yes,Artist,,Low,2.0
384,Female,Yes,38,Yes,Artist,8.0,Average,2.0
385,Female,Yes,60,No,Engineer,,Low,2.0
386,Female,,20,No,Marketing,1.0,Low,3.0
387,Male,,20,No,Healthcare,1.0,Low,3.0
388,Female,Yes,59,No,Artist,1.0,Low,3.0
389,Male,,27,No,Entertainment,1.0,Low,3.0
390,Female,,47,Yes,Artist,4.0,Low,1.0
391,Female,Yes,28,No,Homemaker,9.0,High,3.0
392,Female,Yes,37,Yes,Artist,2.0,Average,2.0
393,Male,,20,No,Healthcare,4.0,Low,4.0
394,Female,Yes,45,No,Doctor,1.0,Low,1.0
395,Female,,29,Yes,Artist,14.0,Low,2.0
396,Male,Yes,42,No,Homemaker,8.0,Low,1.0
397,Female,,30,Yes,Healthcare,12.0,Low,6.0
398,Male,Yes,36,No,Doctor,6.0,Low,3.0
399,Male,,18,No,Healthcare,1.0,Low,3.0
400,Female,Yes,46,Yes,Engineer,1.0,Average,5.0
401,Male,Yes,25,Yes,Entertainment,1.0,Low,2.0
402,Female,Yes,35,Yes,Artist,9.0,Average,4.0
403,Male,Yes,58,Yes,Artist,1.0,Average,4.0
404,Male,,20,No,Healthcare,1.0,Low,2.0
405,Female,,20,No,Healthcare,1.0,Low,5.0
406,Female,Yes,62,Yes,Entertainment,1.0,Low,1.0
407,Female,Yes,33,No,Entertainment,1.0,Low,2.0
408,Female,Yes,49,Yes,Artist,1.0,Average,2.0
409,Female,,42,Yes,Artist,,Low,2.0
410,Female,,25,No,Homemaker,1.0,Low,7.0
411,Female,Yes,51,Yes,Artist,8.0,Low,2.0
412,Female,Yes,47,Yes,Entertainment,3.0,Average,3.0
413,Female,,27,Yes,Healthcare,1.0,Low,4.0
414,Female,,25,Yes,Healthcare,,Low,1.0
415,Male,Yes,37,No,Doctor,4.0,Average,2.0
416,Female,,43,Yes,Healthcare,,Low,6.0
417,Male,,37,Yes,Artist,7.0,Low,2.0
418,Male,,43,No,Artist,6.0,Low,2.0
419,Female,,38,Yes,Engineer,8.0,Low,4.0
420,Male,,33,No,Marketing,2.0,Low,3.0
421,Male,Yes,41,Yes,Artist,4.0,Low,4.0
422,Female,Yes,27,No,Artist,6.0,High,5.0
423,Female,Yes,88,Yes,Lawyer,1.0,High,2.0
424,Male,,42,No,Marketing,1.0,Low,5.0
425,Male,Yes,45,Yes,Entertainment,,Average,2.0
426,Female,,29,No,Marketing,1.0,Low,5.0
427,Female,Yes,52,Yes,Artist,3.0,Low,1.0
428,Female,Yes,45,Yes,Artist,4.0,Low,1.0
429,Male,Yes,48,No,Artist,3.0,Average,4.0
430,Male,,25,Yes,Artist,1.0,Low,5.0
431,Male,Yes,83,Yes,Executive,,High,3.0
432,Male,Yes,28,No,Doctor,,Average,2.0
433,Female,,25,No,Marketing,8.0,Low,5.0
434,Female,Yes,46,Yes,Engineer,1.0,Low,1.0
435,Female,Yes,47,Yes,Artist,,Low,1.0
436,Male,,60,No,Entertainment,,Low,1.0
437,Female,,52,Yes,Lawyer,4.0,Low,1.0
438,Female,,43,No,Doctor,4.0,Low,6.0
439,Male,Yes,29,No,Executive,1.0,Average,3.0
440,Female,Yes,48,Yes,Artist,,Average,2.0
441,Female,,26,Yes,Healthcare,,Low,4.0
442,Male,,28,Yes,Engineer,,Low,3.0
443,Female,Yes,50,Yes,Artist,1.0,Average,3.0
444,Male,Yes,29,Yes,Healthcare,1.0,Low,3.0
445,Male,Yes,58,Yes,Artist,1.0,High,2.0
446,Female,Yes,84,Yes,Lawyer,1.0,Low,1.0
447,Female,,48,Yes,Artist,,Low,2.0
448,Female,Yes,32,Yes,Homemaker,4.0,High,2.0
449,Male,,19,No,Healthcare,,Low,6.0
450,Female,Yes,68,No,Marketing,,Low,2.0
451,Female,,21,No,Entertainment,5.0,Low,5.0
452,Male,,35,Yes,Artist,,Low,2.0
453,Female,,26,No,Engineer,,Low,2.0
454,Female,Yes,53,Yes,Artist,2.0,High,2.0
455,Male,Yes,49,Yes,Artist,1.0,Average,3.0
456,Male,,22,No,Healthcare,,Low,5.0
457,Male,Yes,50,Yes,Artist,,Low,3.0
458,Female,,42,Yes,Artist,1.0,Low,2.0
459,Male,Yes,71,Yes,Artist,6.0,Average,3.0
460,Female,Yes,72,Yes,Artist,1.0,Average,3.0
461,Female,,27,Yes,Artist,14.0,Low,3.0
462,Male,,20,No,Healthcare,7.0,Low,4.0
463,Female,Yes,73,No,Lawyer,,High,2.0
464,Male,,29,No,Healthcare,9.0,Low,3.0
465,Male,Yes,71,Yes,Executive,,High,3.0
466,Female,Yes,53,Yes,Artist,1.0,Low,2.0
467,Male,Yes,48,Yes,Artist,1.0,Average,3.0
468,Male,,35,Yes,Artist,,Low,1.0
469,Male,Yes,81,Yes,Executive,1.0,High,3.0
470,Male,Yes,60,Yes,Entertainment,1.0,Average,3.0
471,Female,Yes,70,No,Lawyer,3.0,High,2.0
472,Male,Yes,42,Yes,Doctor,1.0,Average,2.0
473,Male,,29,No,Entertainment,,Low,3.0
474,Female,,26,Yes,Entertainment,6.0,Low,2.0
475,Male,,27,No,Healthcare,2.0,Low,4.0
476,Male,Yes,61,Yes,Executive,5.0,High,2.0
477,Female,,55,No,Entertainment,3.0,Low,1.0
478,Male,Yes,40,Yes,Artist,14.0,Low,1.0
479,Male,,25,Yes,Artist,1.0,Low,4.0
480,Female,Yes,41,Yes,Doctor,,Low,1.0
481,Female,,40,Yes,Homemaker,13.0,Low,1.0
482,Male,,30,Yes,Healthcare,1.0,Low,1.0
483,Female,,31,Yes,Healthcare,8.0,Low,4.0
484,Female,,38,Yes,Homemaker,,Low,4.0
485,Female,Yes,42,No,Engineer,,Low,4.0
486,Male,Yes,50,Yes,Artist,1.0,Low,1.0
487,Male,Yes,29,No,Executive,4.0,Low,6.0
488,Female,Yes,40,Yes,Artist,9.0,Average,5.0
489,Female,Yes,41,Yes,Engineer,1.0,Average,3.0
490,Male,Yes,85,No,Lawyer,,Low,1.0
491,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0
492,Male,Yes,60,Yes,Artist,,Low,3.0
493,Male,Yes,43,Yes,Artist,2.0,Average,2.0
494,Female,,25,No,Marketing,1.0,Low,2.0
495,Male,Yes,40,Yes,Doctor,1.0,Low,5.0
496,Male,,23,No,Healthcare,,Low,4.0
497,Female,,31,Yes,Entertainment,,Low,3.0
498,Male,,47,Yes,Marketing,1.0,Low,1.0
