ID,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad
1555,31,Private Sector/Self Employed,Yes,900000,5,,Yes,No
1556,26,Private Sector/Self Employed,Yes,1400000,9,1.0,No,Yes
1557,30,Private Sector/Self Employed,,1450000,6,,Yes,Yes
1558,32,Government Sector,Yes,800000,7,,No,No
1559,32,Government Sector,Yes,800000,5,,No,No
1560,34,Private Sector/Self Employed,Yes,1050000,3,1.0,No,No
1561,28,Private Sector/Self Employed,Yes,1200000,4,,No,No
1562,28,Private Sector/Self Employed,Yes,700000,7,,No,No
1563,29,Private Sector/Self Employed,Yes,1100000,4,,No,No
1564,31,Private Sector/Self Employed,Yes,1250000,7,,No,No
1565,30,Private Sector/Self Employed,,550000,5,,No,No
1566,28,Private Sector/Self Employed,Yes,800000,2,,No,No
1567,34,Private Sector/Self Employed,Yes,1500000,3,1.0,Yes,Yes
1568,33,Private Sector/Self Employed,Yes,1500000,5,,Yes,Yes
1569,29,Private Sector/Self Employed,Yes,1200000,5,,No,Yes
1570,27,Government Sector,Yes,500000,5,,No,No
1571,28,Private Sector/Self Employed,Yes,700000,5,,No,Yes
1572,34,Private Sector/Self Employed,Yes,1500000,6,,Yes,Yes
1573,25,Private Sector/Self Employed,,1150000,5,,Yes,No
1574,33,Government Sector,Yes,650000,4,1.0,No,No
1575,28,Private Sector/Self Employed,,550000,7,,No,No
1576,30,Private Sector/Self Employed,,550000,3,,No,No
1577,28,Private Sector/Self Employed,Yes,1100000,4,,No,No
1578,28,Government Sector,,300000,4,,No,No
1579,27,Government Sector,Yes,500000,6,1.0,No,No
1580,28,Private Sector/Self Employed,Yes,1200000,3,1.0,Yes,No
1581,28,Private Sector/Self Employed,Yes,1200000,5,1.0,Yes,No
1582,33,Private Sector/Self Employed,Yes,550000,6,,No,No
1583,31,Private Sector/Self Employed,Yes,900000,4,,No,No
1584,28,Government Sector,Yes,300000,6,,No,No
1585,28,Government Sector,Yes,300000,3,,No,No
1586,25,Private Sector/Self Employed,Yes,1700000,2,1.0,Yes,No
1587,28,Private Sector/Self Employed,Yes,1450000,4,,Yes,Yes
1588,28,Private Sector/Self Employed,Yes,750000,3,,No,No
1589,31,Private Sector/Self Employed,Yes,900000,5,1.0,Yes,No
1590,25,Private Sector/Self Employed,Yes,1400000,4,,Yes,Yes
1591,30,Private Sector/Self Employed,,550000,5,,Yes,No
1592,28,Government Sector,Yes,300000,3,,No,No
1593,25,Private Sector/Self Employed,,1700000,5,,Yes,No
1594,26,Private Sector/Self Employed,Yes,500000,8,,No,No
1595,25,Private Sector/Self Employed,Yes,1400000,5,1.0,No,Yes
1596,34,Private Sector/Self Employed,Yes,500000,5,,No,No
1597,31,Government Sector,,400000,3,,No,No
1598,31,Private Sector/Self Employed,Yes,1250000,6,,No,No
1599,32,Government Sector,Yes,650000,5,1.0,No,No
1600,27,Government Sector,Yes,850000,3,,No,No
1601,28,Government Sector,Yes,300000,7,,No,No
1602,28,Private Sector/Self Employed,Yes,1250000,4,1.0,No,No
1603,28,Private Sector/Self Employed,Yes,700000,5,,No,No
1604,28,Government Sector,Yes,600000,6,,No,No
1605,29,Private Sector/Self Employed,Yes,1050000,7,,No,No
1606,26,Private Sector/Self Employed,Yes,450000,4,,No,No
1607,33,Government Sector,Yes,700000,2,,No,No
1608,29,Private Sector/Self Employed,Yes,350000,8,1.0,No,No
1609,26,Private Sector/Self Employed,Yes,1500000,6,,Yes,Yes
1610,27,Government Sector,Yes,500000,3,1.0,No,No
1611,33,Private Sector/Self Employed,Yes,550000,5,,Yes,No
1612,26,Private Sector/Self Employed,Yes,1400000,6,1.0,No,Yes
1613,31,Private Sector/Self Employed,Yes,1400000,6,,No,Yes
1614,28,Private Sector/Self Employed,Yes,550000,4,,Yes,No
1615,34,Government Sector,Yes,1300000,4,,No,No
1616,30,Private Sector/Self Employed,,650000,5,,No,No
1617,27,Government Sector,Yes,500000,2,,No,No
1618,28,Private Sector/Self Employed,Yes,1150000,7,1.0,No,No
1619,28,Government Sector,Yes,300000,4,,No,No
1620,25,Government Sector,Yes,750000,6,,No,No
1621,27,Government Sector,Yes,850000,4,1.0,No,No
1622,31,Private Sector/Self Employed,Yes,900000,4,1.0,No,No
1623,34,Private Sector/Self Employed,Yes,1000000,9,,No,No
1624,33,Private Sector/Self Employed,Yes,1400000,3,,No,Yes
1625,25,Private Sector/Self Employed,,1150000,6,1.0,No,No
1626,28,Government Sector,Yes,300000,3,1.0,No,No
1627,26,Private Sector/Self Employed,Yes,600000,3,,No,No
1628,29,Private Sector/Self Employed,Yes,1050000,3,,No,No
1629,29,Private Sector/Self Employed,Yes,1150000,4,1.0,No,No
1630,34,Private Sector/Self Employed,Yes,1000000,5,,Yes,No
1631,31,Private Sector/Self Employed,Yes,900000,4,1.0,No,No
1632,33,Government Sector,Yes,1000000,3,,No,No
1633,32,Government Sector,Yes,800000,7,,No,No
1634,25,Private Sector/Self Employed,,1150000,3,,Yes,No
1635,34,Private Sector/Self Employed,Yes,1000000,5,,No,No
1636,31,Private Sector/Self Employed,Yes,1250000,5,,No,No
1637,28,Private Sector/Self Employed,Yes,1400000,4,,Yes,Yes
1638,35,Private Sector/Self Employed,,800000,5,,No,Yes
1639,29,Private Sector/Self Employed,Yes,1200000,4,,No,No
1640,25,Private Sector/Self Employed,Yes,1700000,4,,Yes,No
1641,26,Private Sector/Self Employed,Yes,600000,6,,No,No
1642,28,Private Sector/Self Employed,Yes,1100000,4,,No,No
1643,31,Private Sector/Self Employed,Yes,1250000,7,,No,No
1644,28,Private Sector/Self Employed,Yes,1150000,9,,No,No
1645,28,Private Sector/Self Employed,Yes,1100000,7,,No,No
1646,25,Private Sector/Self Employed,,1150000,3,,Yes,No
1647,28,Private Sector/Self Employed,Yes,1250000,3,1.0,No,No
1648,34,Private Sector/Self Employed,Yes,850000,5,1.0,Yes,No
1649,28,Private Sector/Self Employed,Yes,1100000,5,,No,No
1650,28,Private Sector/Self Employed,Yes,1150000,4,1.0,No,No
1651,25,Private Sector/Self Employed,Yes,1800000,4,1.0,Yes,No
1652,34,Private Sector/Self Employed,Yes,1500000,3,,Yes,Yes
1653,34,Government Sector,Yes,1100000,7,1.0,Yes,No
1654,26,Private Sector/Self Employed,Yes,500000,5,1.0,No,No
1655,25,Private Sector/Self Employed,Yes,1400000,5,1.0,Yes,Yes
1656,28,Government Sector,Yes,300000,7,1.0,No,No
1657,26,Private Sector/Self Employed,Yes,600000,3,,No,No
1658,28,Private Sector/Self Employed,Yes,550000,4,,No,No
1659,35,Private Sector/Self Employed,,950000,6,,No,Yes
1660,29,Private Sector/Self Employed,Yes,500000,3,,No,No
1661,29,Private Sector/Self Employed,Yes,1200000,5,,No,No
1662,28,Private Sector/Self Employed,Yes,700000,4,,No,No
1663,28,Private Sector/Self Employed,Yes,550000,6,,Yes,No
1664,28,Private Sector/Self Employed,Yes,1250000,3,,No,No
1665,25,Private Sector/Self Employed,,1150000,4,,Yes,No
1666,31,Government Sector,,300000,5,,No,No
1667,34,Private Sector/Self Employed,,1300000,6,,No,No
1668,28,Private Sector/Self Employed,Yes,750000,5,,No,No
1669,29,Private Sector/Self Employed,Yes,350000,9,,No,No
1670,26,Private Sector/Self Employed,Yes,500000,5,1.0,No,No
1671,34,Private Sector/Self Employed,Yes,1050000,8,1.0,No,No
1672,29,Private Sector/Self Employed,Yes,1350000,8,,No,Yes
1673,28,Private Sector/Self Employed,Yes,1350000,5,,No,Yes
1674,28,Private Sector/Self Employed,Yes,700000,3,,No,No
1675,34,Private Sector/Self Employed,,950000,3,,Yes,No
1676,33,Private Sector/Self Employed,Yes,750000,7,1.0,No,No
1677,27,Government Sector,Yes,1050000,7,,No,No
1678,28,Government Sector,Yes,300000,3,1.0,No,No
1679,31,Private Sector/Self Employed,Yes,1350000,7,,Yes,Yes
1680,28,Private Sector/Self Employed,Yes,550000,4,,No,No
1681,31,Government Sector,Yes,1300000,8,,No,No
1682,29,Private Sector/Self Employed,Yes,1050000,7,,No,No
1683,30,Private Sector/Self Employed,,800000,3,,No,No
1684,28,Private Sector/Self Employed,Yes,800000,4,,Yes,No
1685,26,Private Sector/Self Employed,Yes,1400000,6,1.0,No,Yes
1686,28,Private Sector/Self Employed,Yes,750000,5,1.0,Yes,No
1687,28,Private Sector/Self Employed,Yes,800000,6,,No,Yes
1688,31,Government Sector,,400000,4,1.0,No,No
1689,31,Private Sector/Self Employed,Yes,1250000,8,,No,No
1690,27,Government Sector,Yes,500000,5,,No,No
1691,35,Private Sector/Self Employed,,800000,6,1.0,No,Yes
1692,26,Private Sector/Self Employed,Yes,1400000,5,,No,Yes
1693,29,Private Sector/Self Employed,Yes,1100000,6,,Yes,No
1694,31,Government Sector,Yes,1300000,2,,Yes,No
1695,31,Government Sector,Yes,400000,5,,No,No
1696,35,Government Sector,Yes,1100000,5,,No,No
1697,28,Private Sector/Self Employed,Yes,800000,2,1.0,No,No
1698,29,Private Sector/Self Employed,Yes,1050000,5,,No,No
1699,29,Private Sector/Self Employed,Yes,500000,4,,No,No
1700,28,Private Sector/Self Employed,Yes,700000,3,,No,No
1701,28,Private Sector/Self Employed,Yes,800000,6,1.0,No,No
1702,31,Private Sector/Self Employed,Yes,1250000,6,,No,No
1703,27,Government Sector,Yes,1050000,2,,No,No
1704,31,Private Sector/Self Employed,Yes,900000,5,1.0,No,No
1705,26,Private Sector/Self Employed,Yes,1400000,3,1.0,No,Yes
1706,28,Government Sector,Yes,300000,8,,No,No
1707,33,Government Sector,Yes,400000,6,,No,No
1708,35,Private Sector/Self Employed,,800000,4,,No,No
1709,26,Private Sector/Self Employed,Yes,1250000,3,1.0,No,No
1710,28,Private Sector/Self Employed,Yes,1200000,6,1.0,No,No
1711,31,Private Sector/Self Employed,Yes,1350000,4,,No,Yes
1712,28,Private Sector/Self Employed,Yes,1100000,4,,No,No
1713,28,Private Sector/Self Employed,Yes,1400000,4,,No,Yes
1714,28,Private Sector/Self Employed,Yes,800000,4,,No,No
1715,27,Government Sector,Yes,500000,2,,No,No
1716,28,Private Sector/Self Employed,Yes,800000,6,1.0,No,No
1717,31,Private Sector/Self Employed,Yes,1250000,3,,No,No
1718,34,Private Sector/Self Employed,Yes,1500000,5,1.0,Yes,Yes
1719,34,Private Sector/Self Employed,Yes,700000,3,,No,No
1720,25,Private Sector/Self Employed,Yes,1700000,3,,Yes,No
1721,29,Private Sector/Self Employed,Yes,1100000,2,,No,No
1722,30,Private Sector/Self Employed,,1450000,2,1.0,Yes,Yes
1723,34,Private Sector/Self Employed,Yes,1500000,3,1.0,Yes,Yes
1724,32,Government Sector,Yes,800000,6,,Yes,No
1725,28,Private Sector/Self Employed,Yes,900000,4,,Yes,No
1726,28,Private Sector/Self Employed,Yes,700000,3,,No,No
1727,34,Private Sector/Self Employed,Yes,1500000,6,,Yes,Yes
1728,28,Private Sector/Self Employed,Yes,1100000,4,,No,No
1729,26,Private Sector/Self Employed,Yes,500000,6,,No,No
1730,35,Government Sector,Yes,900000,7,,No,No
1731,31,Private Sector/Self Employed,Yes,1100000,4,,No,No
1732,31,Private Sector/Self Employed,Yes,500000,5,,No,No
1733,29,Private Sector/Self Employed,Yes,1200000,3,,No,Yes
1734,31,Government Sector,,300000,5,,No,No
1735,34,Private Sector/Self Employed,Yes,1050000,4,1.0,No,No
1736,34,Private Sector/Self Employed,Yes,500000,6,,No,No
1737,33,Private Sector/Self Employed,Yes,750000,8,1.0,No,No
1738,27,Government Sector,Yes,1050000,7,,No,No
1739,29,Private Sector/Self Employed,Yes,1200000,8,,Yes,No
1740,29,Private Sector/Self Employed,Yes,500000,2,,No,No
1741,26,Private Sector/Self Employed,Yes,600000,7,,No,No
1742,28,Private Sector/Self Employed,Yes,800000,3,,No,No
1743,28,Private Sector/Self Employed,Yes,800000,3,,No,No
1744,35,Private Sector/Self Employed,,950000,4,,No,No
1745,28,Private Sector/Self Employed,,550000,6,1.0,No,No
1746,34,Private Sector/Self Employed,Yes,850000,4,,No,Yes
1747,31,Government Sector,Yes,400000,2,,No,No
1748,33,Private Sector/Self Employed,Yes,1500000,5,,Yes,Yes
1749,28,Private Sector/Self Employed,Yes,1100000,4,,Yes,No
1750,33,Government Sector,Yes,1100000,4,1.0,No,Yes
1751,28,Private Sector/Self Employed,Yes,700000,5,,No,No
1752,28,Government Sector,Yes,300000,5,,No,No
1753,26,Government Sector,Yes,500000,5,1.0,No,No
1754,33,Government Sector,Yes,600000,7,,No,No
1755,30,Private Sector/Self Employed,,1450000,4,1.0,Yes,Yes
1756,34,Private Sector/Self Employed,Yes,850000,5,1.0,No,No
1757,29,Private Sector/Self Employed,Yes,900000,3,,No,No
1758,25,Private Sector/Self Employed,,1150000,7,,No,No
1759,26,Government Sector,Yes,500000,6,,No,No
1760,25,Government Sector,Yes,750000,2,,Yes,No
1761,34,Private Sector/Self Employed,Yes,1500000,3,,Yes,Yes
1762,30,Private Sector/Self Employed,,500000,7,1.0,No,No
1763,28,Private Sector/Self Employed,Yes,1300000,5,1.0,Yes,No
1764,29,Private Sector/Self Employed,Yes,1050000,3,,No,No
1765,32,Government Sector,Yes,900000,5,,Yes,No
1766,34,Private Sector/Self Employed,Yes,1300000,6,1.0,No,No
1767,26,Government Sector,Yes,550000,4,,No,No
1768,35,Private Sector/Self Employed,,800000,4,,No,No
1769,28,Private Sector/Self Employed,Yes,650000,3,,No,No
1770,29,Private Sector/Self Employed,Yes,1050000,5,,No,No
1771,34,Private Sector/Self Employed,Yes,1050000,4,1.0,No,No
1772,26,Private Sector/Self Employed,Yes,1400000,4,,No,Yes
1773,28,Private Sector/Self Employed,Yes,1150000,8,,Yes,No
1774,28,Private Sector/Self Employed,Yes,500000,4,,No,No
1775,32,Government Sector,Yes,350000,5,,No,No
1776,33,Government Sector,Yes,1100000,8,,No,No
1777,29,Private Sector/Self Employed,Yes,1200000,4,,No,No
1778,34,Private Sector/Self Employed,Yes,700000,4,1.0,Yes,No
1779,28,Private Sector/Self Employed,Yes,750000,4,,Yes,No
1780,25,Private Sector/Self Employed,,1700000,6,,Yes,No
1781,31,Private Sector/Self Employed,Yes,950000,3,,Yes,No
1782,29,Private Sector/Self Employed,Yes,600000,5,1.0,No,No
1783,34,Private Sector/Self Employed,Yes,850000,4,,No,No
1784,29,Private Sector/Self Employed,Yes,1200000,9,,No,No
1785,34,Private Sector/Self Employed,Yes,700000,4,,No,No
1786,25,Private Sector/Self Employed,,1150000,2,,No,Yes
1787,31,Private Sector/Self Employed,Yes,950000,4,,No,No
1788,34,Private Sector/Self Employed,Yes,500000,5,,No,No
1789,26,Private Sector/Self Employed,Yes,1750000,3,,No,No
1790,28,Private Sector/Self Employed,Yes,1150000,3,1.0,No,No
1791,28,Private Sector/Self Employed,Yes,1150000,4,,No,No
1792,28,Private Sector/Self Employed,Yes,1200000,5,,No,No
1793,34,Private Sector/Self Employed,Yes,1500000,3,,Yes,Yes
1794,34,Private Sector/Self Employed,Yes,1500000,3,,Yes,Yes
1795,28,Private Sector/Self Employed,Yes,1450000,5,,Yes,Yes
1796,27,Government Sector,Yes,850000,4,,No,No
1797,28,Private Sector/Self Employed,Yes,1200000,3,,No,No
1798,28,Private Sector/Self Employed,Yes,800000,3,1.0,No,No
1799,25,Private Sector/Self Employed,Yes,1700000,3,,Yes,No
1800,26,Government Sector,Yes,1450000,3,,Yes,Yes
1801,25,Government Sector,Yes,750000,3,1.0,No,No
1802,29,Private Sector/Self Employed,Yes,1200000,4,,No,No
1803,31,Government Sector,Yes,400000,6,,No,No
1804,33,Private Sector/Self Employed,Yes,1400000,5,,No,Yes
1805,28,Private Sector/Self Employed,Yes,1100000,5,,No,No
1806,29,Private Sector/Self Employed,Yes,1200000,4,,No,No
1807,26,Government Sector,Yes,550000,4,,No,No
1808,26,Private Sector/Self Employed,Yes,600000,3,,No,No
1809,28,Private Sector/Self Employed,Yes,500000,4,1.0,No,No
1810,28,Government Sector,Yes,300000,6,1.0,No,No
1811,27,Private Sector/Self Employed,,350000,4,,No,No
1812,29,Private Sector/Self Employed,Yes,1100000,8,,No,No
1813,28,Private Sector/Self Employed,Yes,800000,6,,No,Yes
1814,29,Private Sector/Self Employed,Yes,1350000,4,,No,Yes
1815,28,Private Sector/Self Employed,,550000,5,,Yes,No
1816,33,Private Sector/Self Employed,Yes,550000,3,1.0,No,No
1817,34,Private Sector/Self Employed,Yes,1000000,3,,Yes,No
1818,29,Private Sector/Self Employed,Yes,1050000,7,,Yes,No
1819,26,Government Sector,Yes,500000,8,,No,No
1820,25,Private Sector/Self Employed,Yes,1400000,3,,No,Yes
1821,28,Private Sector/Self Employed,Yes,800000,5,,No,No
1822,25,Private Sector/Self Employed,,1350000,5,1.0,No,Yes
1823,35,Private Sector/Self Employed,,800000,5,,No,No
1824,25,Private Sector/Self Employed,Yes,1800000,6,,Yes,No
1825,28,Private Sector/Self Employed,Yes,800000,4,1.0,Yes,No
1826,29,Private Sector/Self Employed,Yes,600000,6,,No,No
1827,29,Private Sector/Self Employed,Yes,1200000,6,,No,No
1828,32,Government Sector,Yes,800000,5,1.0,Yes,No
1829,28,Government Sector,Yes,300000,3,,No,No
1830,31,Private Sector/Self Employed,Yes,1400000,4,1.0,No,Yes
1831,25,Private Sector/Self Employed,Yes,1700000,6,,Yes,No
1832,31,Government Sector,,350000,4,1.0,No,No
1833,29,Private Sector/Self Employed,Yes,1050000,5,,No,No
1834,29,Private Sector/Self Employed,Yes,1200000,5,,No,No
1835,31,Private Sector/Self Employed,Yes,1100000,4,,Yes,No
1836,31,Government Sector,,400000,5,,No,No
1837,33,Government Sector,Yes,800000,4,,No,No
1838,34,Private Sector/Self Employed,Yes,1300000,5,,No,Yes
1839,28,Private Sector/Self Employed,Yes,700000,4,1.0,No,Yes
1840,32,Government Sector,Yes,350000,3,,No,Yes
1841,28,Private Sector/Self Employed,Yes,900000,8,,No,No
1842,32,Government Sector,Yes,350000,3,,No,Yes
1843,34,Private Sector/Self Employed,Yes,700000,4,1.0,Yes,No
1844,28,Private Sector/Self Employed,Yes,1200000,4,,No,No
1845,27,Private Sector/Self Employed,,350000,5,1.0,No,No
1846,28,Government Sector,Yes,300000,5,,No,No
1847,32,Government Sector,Yes,850000,4,,No,No
1848,28,Government Sector,Yes,1200000,3,,No,No
1849,31,Government Sector,,400000,7,1.0,No,No
1850,28,Private Sector/Self Employed,Yes,1250000,7,,No,No
1851,28,Government Sector,Yes,300000,5,,No,No
1852,28,Private Sector/Self Employed,,550000,6,,No,No
1853,28,Private Sector/Self Employed,Yes,1200000,6,1.0,No,No
1854,34,Private Sector/Self Employed,Yes,700000,5,,No,No
1855,34,Government Sector,Yes,1300000,5,,Yes,No
1856,27,Private Sector/Self Employed,,1550000,4,,Yes,No
1857,26,Private Sector/Self Employed,Yes,600000,3,,Yes,No
1858,27,Government Sector,Yes,900000,4,,No,No
1859,30,Private Sector/Self Employed,,750000,3,1.0,No,No
1860,32,Government Sector,Yes,800000,3,1.0,No,No
1861,28,Private Sector/Self Employed,Yes,550000,8,,No,No
1862,34,Private Sector/Self Employed,Yes,1050000,5,,Yes,No
1863,28,Private Sector/Self Employed,Yes,550000,5,,No,No
1864,34,Private Sector/Self Employed,Yes,500000,5,,No,No
1865,31,Government Sector,Yes,400000,6,1.0,No,No
1866,26,Private Sector/Self Employed,Yes,1400000,6,,No,Yes
1867,28,Government Sector,Yes,300000,7,1.0,No,No
1868,35,Private Sector/Self Employed,,800000,5,,No,No
1869,25,Private Sector/Self Employed,Yes,1400000,5,,No,Yes
1870,31,Government Sector,Yes,1500000,2,,Yes,Yes
1871,25,Private Sector/Self Employed,Yes,1700000,3,,Yes,No
1872,34,Private Sector/Self Employed,Yes,1500000,4,,Yes,Yes
1873,29,Private Sector/Self Employed,Yes,1050000,7,,No,No
1874,34,Private Sector/Self Employed,Yes,1000000,3,,No,No
1875,29,Private Sector/Self Employed,Yes,500000,3,,No,No
1876,26,Private Sector/Self Employed,Yes,1400000,5,,No,Yes
1877,34,Private Sector/Self Employed,Yes,1500000,4,1.0,Yes,Yes
1878,28,Private Sector/Self Employed,Yes,1100000,7,,Yes,No
1879,28,Private Sector/Self Employed,Yes,700000,4,,No,No
1880,27,Private Sector/Self Employed,,350000,2,,No,No
1881,27,Government Sector,Yes,1050000,4,1.0,No,No
1882,34,Private Sector/Self Employed,Yes,1300000,4,,No,No
1883,31,Private Sector/Self Employed,Yes,1350000,9,1.0,No,Yes
1884,27,Government Sector,Yes,500000,4,,No,No
1885,28,Government Sector,Yes,1200000,4,,No,No
1886,35,Government Sector,Yes,1100000,3,,No,No
1887,32,Government Sector,Yes,350000,6,,No,No
1888,31,Private Sector/Self Employed,Yes,900000,5,,No,No
1889,26,Private Sector/Self Employed,Yes,750000,5,1.0,No,No
1890,31,Government Sector,Yes,1300000,6,,No,No
1891,28,Government Sector,Yes,1200000,5,,No,No
1892,28,Private Sector/Self Employed,Yes,800000,7,1.0,No,No
1893,28,Private Sector/Self Employed,Yes,700000,5,,No,No
1894,32,Government Sector,Yes,850000,4,1.0,No,No
1895,28,Private Sector/Self Employed,Yes,700000,4,1.0,No,No
1896,26,Government Sector,Yes,500000,3,,No,No
1897,31,Private Sector/Self Employed,Yes,1400000,3,,No,Yes
1898,35,Government Sector,Yes,1100000,4,,Yes,No
1899,25,Private Sector/Self Employed,,600000,4,1.0,Yes,No
1900,31,Private Sector/Self Employed,Yes,1250000,4,1.0,No,No
1901,27,Private Sector/Self Employed,,1000000,3,1.0,No,No
1902,28,Government Sector,Yes,600000,4,1.0,No,No
1903,33,Government Sector,Yes,400000,2,,No,No
1904,33,Government Sector,Yes,650000,4,,No,Yes
1905,28,Private Sector/Self Employed,Yes,700000,7,,Yes,No
1906,25,Private Sector/Self Employed,,600000,4,1.0,Yes,No
1907,28,Private Sector/Self Employed,Yes,1450000,6,,Yes,Yes
1908,28,Private Sector/Self Employed,Yes,600000,5,,Yes,No
1909,28,Private Sector/Self Employed,Yes,800000,4,,No,No
1910,28,Government Sector,,300000,4,1.0,No,No
1911,28,Private Sector/Self Employed,Yes,1150000,7,,No,No
1912,27,Private Sector/Self Employed,,1550000,6,1.0,Yes,No
1913,34,Private Sector/Self Employed,Yes,500000,4,,No,No
1914,33,Government Sector,Yes,1100000,5,,No,No
1915,30,Private Sector/Self Employed,,550000,6,,No,No
1916,28,Private Sector/Self Employed,Yes,800000,5,,No,No
1917,28,Government Sector,Yes,1100000,6,1.0,No,No
1918,34,Private Sector/Self Employed,,1300000,4,,No,No
1919,33,Private Sector/Self Employed,Yes,1400000,3,,No,Yes
1920,28,Government Sector,Yes,300000,6,,No,No
1921,32,Government Sector,Yes,800000,5,,No,No
1922,31,Government Sector,,300000,5,,No,No
1923,34,Private Sector/Self Employed,Yes,500000,4,,No,No
1924,26,Private Sector/Self Employed,Yes,750000,3,,No,No
1925,33,Private Sector/Self Employed,Yes,750000,3,1.0,No,No
1926,33,Government Sector,Yes,400000,5,,No,No
1927,25,Private Sector/Self Employed,Yes,1400000,5,,No,Yes
1928,34,Private Sector/Self Employed,Yes,1000000,4,,No,No
1929,34,Private Sector/Self Employed,Yes,1500000,7,,Yes,Yes
1930,28,Government Sector,Yes,600000,7,1.0,No,No
1931,31,Government Sector,Yes,1200000,7,,No,No
1932,34,Private Sector/Self Employed,Yes,1300000,4,1.0,No,No
1933,35,Private Sector/Self Employed,,800000,4,1.0,No,No
1934,28,Private Sector/Self Employed,Yes,550000,4,1.0,Yes,No
1935,25,Private Sector/Self Employed,,1350000,3,1.0,Yes,Yes
1936,33,Government Sector,Yes,1000000,6,,Yes,No
1937,33,Private Sector/Self Employed,Yes,1500000,7,,Yes,Yes
1938,34,Private Sector/Self Employed,Yes,500000,5,,Yes,Yes
1939,34,Private Sector/Self Employed,,1400000,4,,No,Yes
1940,27,Private Sector/Self Employed,,450000,8,,No,No
1941,25,Private Sector/Self Employed,Yes,1400000,5,,Yes,Yes
1942,27,Private Sector/Self Employed,,450000,3,,No,No
1943,28,Private Sector/Self Employed,Yes,900000,5,,No,No
1944,29,Private Sector/Self Employed,Yes,1050000,2,,No,No
1945,34,Private Sector/Self Employed,Yes,1500000,4,1.0,Yes,Yes
1946,28,Private Sector/Self Employed,,550000,4,1.0,No,Yes
